Как часто вы выпиваете порцию напитка, содержащего алкоголь?;Никогда;Раз в месяц или реже;2-4 раз в МЕСЯЦ;2-3 раза в НЕДЕЛЮ;4 или более раз в неделю
Сколько рюмок алкогольного напитка Вы выпиваете в тот день, когда употребляете алкоголь?;1 или 2;3 или 4;5 или 6;от 7 до 9;10 или более
Как часто Вы выпиваете 6 или более рюмок?;Никогда;Реже, чем 1 раз в месяц;1 раз в месяц;1 раз в неделю;Каждый день или почти каждый день
Как часто за последний год Вы замечали, что, начав пить алкогольные напитки, не можете остановиться?;Никогда;Реже, чем 1 раз в месяц;1 раз в месяц;1 раз в неделю;Каждый день или почти каждый день
Как часто за последний год из-за чрезмерного употребления алкоголя Вы не смогли сделать то, что делаете обычно?;Никогда;Реже, чем 1 раз в месяц;1 раз в месяц;1 раз в неделю;Каждый день или почти каждый день
Как часто за последний год Вам необходимо было опохмелиться утром, чтобы прийти в себя после того, как Вы много выпили накануне?;Никогда;Реже, чем 1 раз в месяц;1 раз в месяц;1 раз в неделю;Каждый день или почти каждый день
Как часто за последний год Вы испытывали чувство вины или угрызения совести после выпивки?;Никогда;Реже, чем 1 раз в месяц;2 раз в месяц;2 раз в неделю;Каждый день или почти каждый день
Как часто за последний год Вы не могли вспомнить, что было накануне вечером, потому что вы были пьяны?;Никогда;Реже, чем 1 раз в месяц;3 раз в месяц;3 раз в неделю;Каждый день или почти каждый день
Получали ли Вы или кто-то другой травму по причине чрезмерного употребления Вами алкогольных напитков?;Нет;Да, но не в прошлом году;Да, в прошлом году;;
Кто-нибудь из родственников, друг, врач или другой медицинский работник выражали озабоченность по поводу употребления Вами алкоголя или предлагали Вам уменьшить количество употребляемого алкоголя?;Нет;Да, но не в прошлом году;Да, в прошлом году;;
